Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Connor Wong,27,22,65,58,9,14,4,0,1,8,1,1,5,18,.241,.313,.362,.675,84,21,1,1,1,0,0,wongco01
2,1B,Triston Casas*,23,25,92,75,13,10,3,0,3,8,0,0,16,27,.133,.283,.293,.576,58,22,1,0,0,1,0,casastr01
3,2B,Christian Arroyo,28,23,70,65,9,16,4,0,0,8,1,0,4,16,.246,.290,.308,.598,64,20,3,0,1,0,0,arroych01
4,SS,Enrique Hernández,31,27,110,98,19,24,6,0,3,10,1,0,10,26,.245,.318,.398,.716,94,39,2,1,0,1,0,hernaen02
5,3B,Rafael Devers*,26,28,123,112,20,26,7,0,10,27,0,0,8,26,.232,.285,.563,.847,124,63,3,1,0,2,2,deverra01
6,LF,Masataka Yoshida*,29,23,102,87,15,24,4,0,4,16,2,0,12,11,.276,.373,.460,.832,126,40,4,2,0,1,0,yoshima02
7,CF,Jarren Duran*,26,13,53,48,8,19,9,0,1,10,2,0,3,12,.396,.415,.646,1.061,184,31,0,0,0,2,0,duranja01
8,RF,Alex Verdugo*,27,29,129,117,22,36,6,1,4,17,1,0,10,17,.308,.372,.479,.851,131,56,2,2,0,0,0,verdual01
9,DH,Justin Turner,38,29,127,108,13,28,5,0,2,9,1,0,14,16,.259,.362,.361,.723,99,39,2,4,0,1,0,turneju01
10,OF,Rob Refsnyder,32,19,56,46,7,9,1,0,1,8,0,0,9,12,.196,.339,.283,.622,73,13,2,1,0,0,0,refsnro01
11,C,Reese McGuire*,28,17,48,45,4,14,4,0,0,6,0,0,2,13,.311,.340,.400,.740,102,18,1,0,0,0,0,mcguire01
12,MI,Yu Chang (10-day IL),27,17,47,44,5,6,0,0,3,8,1,0,1,12,.136,.174,.341,.515,36,15,1,1,1,0,0,changyu01
13,CF,Adam Duvall (10-day IL),34,8,37,33,11,15,5,1,4,14,0,0,3,5,.455,.514,1.030,1.544,308,34,0,1,0,0,0,duvalad01
14,OF,Raimel Tapia*,29,17,31,26,5,6,1,0,1,4,0,0,4,7,.231,.333,.385,.718,96,10,0,0,0,0,0,tapiara01
15,2B,Enmanuel Valdez*,24,6,20,20,2,6,3,0,0,1,0,0,0,4,.300,.300,.450,.750,102,9,1,0,0,0,0,valdeen01
16,IF,Bobby Dalbec (40-man),28,4,11,9,0,2,0,0,0,0,1,0,2,5,.222,.364,.222,.586,66,2,0,0,0,0,0,dalbebo01
17,P,Garrett Whitlock (15-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,,whitlga01
18,P,Richard Bleier*,36,0,0,,,,,,,,,,,,,,,,,,,,,,,bleieri01
19,P,Kaleb Ort (40-man),31,0,0,,,,,,,,,,,,,,,,,,,,,,,ortka01
20,P,Brayan Bello,24,0,0,,,,,,,,,,,,,,,,,,,,,,,bellobr01
21,P,Chris Sale*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,salech01
22,P,Nick Pivetta,30,0,0,,,,,,,,,,,,,,,,,,,,,,,pivetni01
23,P,Corey Kluber,37,0,0,,,,,,,,,,,,,,,,,,,,,,,klubeco01
24,P,Josh Winckowski,25,0,0,,,,,,,,,,,,,,,,,,,,,,,winckjo01
25,P,Kenley Jansen#,35,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,janseke01
26,P,Kutter Crawford,27,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,crawfku01
27,P,Ryan Brasier,35,0,0,,,,,,,,,,,,,,,,,,,,,,,brasiry01
28,P,Chris Martin,37,0,0,,,,,,,,,,,,,,,,,,,,,,,martich02
29,P,John Schreiber,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,schrejo01
30,P,Zack Kelly (60-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,kellyza01
31,P,Tanner Houck,27,0,0,,,,,,,,,,,,,,,,,,,,,,,houckta01
32,P,Brennan Bernardino*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,bernabr01
