Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Chris Sale*,34,2,2,.500,6.75,6,6,0,0,0,0,29.1,33,23,22,5,10,0,35,4,0,0,134,70,4.65,1.466,10.1,1.5,3.1,10.7,3.50,salech01
2,SP,Tanner Houck,27,3,1,.750,4.50,5,5,0,0,0,0,26.0,25,14,13,3,10,0,24,0,0,0,111,105,4.19,1.346,8.7,1.0,3.5,8.3,2.40,houckta01
3,SP,Nick Pivetta,30,1,2,.333,5.11,5,5,0,0,0,0,24.2,23,16,14,5,11,0,28,2,0,2,110,93,5.33,1.378,8.4,1.8,4.0,10.2,2.55,pivetni01
4,SP,Corey Kluber,37,1,4,.200,6.75,5,5,0,0,0,0,24.0,24,18,18,7,8,0,20,2,0,0,106,70,6.76,1.333,9.0,2.6,3.0,7.5,2.50,klubeco01
5,SP,Garrett Whitlock (15-day IL),27,1,2,.333,6.19,3,3,0,0,0,0,16.0,19,11,11,4,3,0,11,1,0,0,65,77,6.01,1.375,10.7,2.3,1.7,6.2,3.67,whitlga01
6,SP,Brayan Bello,24,0,1,.000,6.57,3,3,0,0,0,0,12.1,18,9,9,3,5,0,14,1,0,1,59,73,5.74,1.865,13.1,2.2,3.6,10.2,2.80,bellobr01
7,CL,Kenley Jansen,35,1,0,1.000,1.04,9,0,7,0,0,6,8.2,7,1,1,0,2,0,12,0,0,0,35,468,1.31,1.038,7.3,0.0,2.1,12.5,6.00,janseke01
8,RP,Ryan Brasier,35,1,0,1.000,8.36,14,0,7,0,0,1,14.0,15,14,13,1,8,0,12,2,0,1,66,57,4.74,1.643,9.6,0.6,5.1,7.7,1.50,brasiry01
9,RP,John Schreiber,29,1,0,1.000,2.77,14,0,2,0,0,0,13.0,12,5,4,1,7,0,16,1,0,0,56,173,3.77,1.462,8.3,0.7,4.8,11.1,2.29,schrejo01
10,RP,Richard Bleier*,36,0,0,,6.39,12,0,0,0,0,0,12.2,14,9,9,1,3,0,9,2,0,2,54,75,4.17,1.342,9.9,0.7,2.1,6.4,3.00,bleieri01
11,RP,Kaleb Ort (40-man),31,1,0,1.000,7.30,12,0,2,0,0,0,12.1,16,12,10,3,6,0,12,1,0,2,62,66,6.30,1.784,11.7,2.2,4.4,8.8,2.00,ortka01
12,,Kutter Crawford,27,1,1,.500,3.70,6,2,4,0,0,0,24.1,20,10,10,5,2,0,24,0,0,1,96,128,4.33,0.904,7.4,1.8,0.7,8.9,12.00,crawfku01
13,,Josh Winckowski,25,1,0,1.000,1.40,10,0,0,0,0,0,19.1,13,3,3,1,4,0,16,1,0,0,75,341,3.18,0.879,6.1,0.5,1.9,7.4,4.00,winckjo01
14,,Zack Kelly (60-day IL),28,0,0,,3.68,6,0,1,0,0,0,7.1,6,3,3,0,6,0,6,2,0,1,34,133,5.02,1.636,7.4,0.0,7.4,7.4,1.00,kellyza01
15,,Chris Martin,37,0,1,.000,2.57,7,0,3,0,0,0,7.0,8,2,2,1,1,0,2,0,0,0,29,191,5.10,1.286,10.3,1.3,1.3,2.6,2.00,martich02
16,,Brennan Bernardino*,31,1,0,1.000,0.00,4,0,3,0,0,0,5.0,6,1,0,0,0,0,4,0,0,0,20,,1.79,1.200,10.8,0.0,0.0,7.2,,bernabr01
