NAME,RTG,BYE,GP,FPTS,PTS ALLOW,YARDS ALLOW,PLAYS ALLOW,SACKS,FF,FR,INT,DEF TD, SP TD
"New Orleans Saints",83,14,8,41,155,2776,501,18,6,2,4,2,0
"Arizona Cardinals",73,13,9,37,155,2889,545,24,15,11,7,2,0
"Denver Broncos",87,9,9,36,153,2896,537,22,3,3,6,1,0
"Buffalo Bills",77,7,8,31,118,2101,468,17,8,8,5,1,0
"Carolina Panthers",80,13,9,29,183,2638,529,23,8,3,11,1,0
"New England Patriots",82,10,9,27,170,3063,570,19,4,3,7,3,0
"Dallas Cowboys",67,9,8,27,192,2972,495,16,4,5,6,9,0
"Chicago Bears",82,14,9,27,224,3140,557,25,6,6,9,3,0
"Indianapolis Colts",77,14,9,24,213,3305,567,19,10,12,4,3,0
"Cincinnati Bengals",63,10,9,23,203,3251,587,23,7,3,11,2,0
"Cleveland Browns",86,9,9,22,196,2787,549,27,6,3,3,2,0
"Tampa Bay Buccaneers",90,11,8,21,183,2686,498,17,6,5,5,2,0
"Minnesota Vikings",84,7,8,20,191,3069,542,27,6,5,2,4,1
"Miami Dolphins",86,11,9,19,242,3527,611,16,10,8,9,6,0
"Philadelphia Eagles",72,7,9,19,218,3198,595,17,6,3,4,5,0
"Los Angeles Rams",90,7,9,19,196,3134,594,28,7,2,7,1,0
"San Francisco 49ers",83,9,8,18,202,2705,507,18,10,3,6,2,0
"Pittsburgh Steelers",86,9,8,18,169,2834,495,22,11,6,4,1,0
"Los Angeles Chargers",76,8,8,17,201,2869,509,15,10,4,6,2,0
"Houston Texans",60,6,9,15,258,3473,583,19,11,5,11,2,0
"Jacksonville Jaguars",70,11,8,14,209,3003,507,15,3,1,9,3,2
"New York Giants",79,9,9,12,216,3352,605,19,7,7,7,1,0
"Kansas City Chiefs",80,8,9,12,227,3433,547,12,7,3,10,4,0
"New York Jets",72,10,8,11,251,3265,541,18,8,4,14,2,0
"Baltimore Ravens",88,10,8,10,195,2994,479,15,3,2,7,1,0
"Seattle Seahawks",70,11,8,10,169,3212,579,13,3,5,2,1,1
"Green Bay Packers",79,14,9,9,180,2891,549,20,5,6,4,2,0
"Detroit Lions",74,6,8,7,244,3031,485,14,4,3,6,0,0
"Atlanta Falcons",65,14,8,6,220,2884,516,11,7,5,6,2,0
"Tennessee Titans",68,6,9,5,211,3292,589,23,9,4,8,3,0
"Washington Commanders",93,14,8,4,227,3115,527,19,7,4,9,4,1
"Las Vegas Raiders",69,6,8,0,189,2723,535,21,7,8,7,0,0
